,symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-L/100km,highway-L/100km,price,horsepower-binned,diesel,gas,aspiration-std,aspiration-turbo
0,3,122,alfa-romero,two,convertible,rwd,front,88.6,0.4134328358208958,0.32478632478632447,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000.0,11.19047619047619,8.703703703703704,13495.0,Medium,0,1,1,0
1,3,122,alfa-romero,two,convertible,rwd,front,88.6,0.4134328358208958,0.32478632478632447,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000.0,11.19047619047619,8.703703703703704,16500.0,Medium,0,1,1,0
2,1,122,alfa-romero,two,hatchback,rwd,front,94.5,0.4492537313432835,0.4444444444444446,52.4,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154.0,5000.0,12.368421052631579,9.038461538461538,16500.0,Medium,0,1,1,0
3,2,164,audi,four,sedan,fwd,front,99.8,0.5298507462686567,0.5042735042735046,54.3,2337,ohc,four,109,mpfi,3.19,3.4,10.0,102.0,5500.0,9.791666666666666,7.833333333333333,13950.0,Medium,0,1,1,0
4,2,164,audi,four,sedan,4wd,front,99.4,0.5298507462686567,0.521367521367522,54.3,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115.0,5500.0,13.055555555555555,10.681818181818182,17450.0,Medium,0,1,1,0
5,2,122,audi,two,sedan,fwd,front,99.8,0.5402985074626868,0.5128205128205127,53.1,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,12.368421052631579,9.4,15250.0,Medium,0,1,1,0
6,1,158,audi,four,sedan,fwd,front,105.8,0.7701492537313432,0.9487179487179492,55.7,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,12.368421052631579,9.4,17710.0,Medium,0,1,1,0
7,1,122,audi,four,wagon,fwd,front,105.8,0.7701492537313432,0.9487179487179492,55.7,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,12.368421052631579,9.4,18920.0,Medium,0,1,1,0
8,1,158,audi,four,sedan,fwd,front,105.8,0.7701492537313432,0.9487179487179492,55.9,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140.0,5500.0,13.823529411764707,11.75,23875.0,Medium,0,1,0,1
9,2,192,bmw,two,sedan,rwd,front,101.2,0.5328358208955226,0.3846153846153845,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101.0,5800.0,10.217391304347826,8.10344827586207,16430.0,Low,0,1,1,0
10,0,192,bmw,four,sedan,rwd,front,101.2,0.5328358208955226,0.3846153846153845,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101.0,5800.0,10.217391304347826,8.10344827586207,16925.0,Low,0,1,1,0
11,0,188,bmw,two,sedan,rwd,front,101.2,0.5328358208955226,0.3846153846153845,54.3,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,11.19047619047619,8.392857142857142,20970.0,Medium,0,1,1,0
12,0,188,bmw,four,sedan,rwd,front,101.2,0.5328358208955226,0.3846153846153845,54.3,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,11.19047619047619,8.392857142857142,21105.0,Medium,0,1,1,0
13,1,122,bmw,four,sedan,rwd,front,103.5,0.7149253731343285,0.5641025641025647,55.7,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,11.75,9.4,24565.0,Medium,0,1,1,0
14,0,122,bmw,four,sedan,rwd,front,103.5,0.7149253731343285,0.5641025641025647,55.7,3230,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,14.6875,10.681818181818182,30760.0,High,0,1,1,0
15,0,122,bmw,two,sedan,rwd,front,103.5,0.7865671641791048,0.6495726495726502,53.7,3380,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,14.6875,10.681818181818182,41315.0,High,0,1,1,0
16,0,122,bmw,four,sedan,rwd,front,110.0,0.8343283582089553,0.9059829059829065,56.3,3505,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,15.666666666666666,11.75,36880.0,High,0,1,1,0
17,2,121,chevrolet,two,hatchback,fwd,front,88.4,0.0,0.0,53.2,1488,l,three,61,2bbl,2.91,3.03,9.5,48.0,5100.0,5.0,4.433962264150943,5151.0,Low,0,1,1,0
18,1,98,chevrolet,two,hatchback,fwd,front,94.5,0.22089552238805987,0.2820512820512823,52.0,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400.0,6.184210526315789,5.465116279069767,6295.0,Low,0,1,1,0
19,0,81,chevrolet,four,sedan,fwd,front,94.5,0.26417910447761217,0.2820512820512823,52.0,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400.0,6.184210526315789,5.465116279069767,6575.0,Low,0,1,1,0
20,1,118,dodge,two,hatchback,fwd,front,93.7,0.24179104477611965,0.2991452991452991,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68.0,5500.0,6.351351351351352,5.7317073170731705,5572.0,Low,0,1,1,0
21,1,118,dodge,two,hatchback,fwd,front,93.7,0.24179104477611965,0.2991452991452991,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,7.580645161290323,6.184210526315789,6377.0,Low,0,1,1,0
22,1,118,dodge,two,hatchback,fwd,front,93.7,0.24179104477611965,0.2991452991452991,50.8,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102.0,5500.0,9.791666666666666,7.833333333333333,7957.0,Medium,0,1,0,1
23,1,148,dodge,four,hatchback,fwd,front,93.7,0.24179104477611965,0.2991452991452991,50.6,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,7.580645161290323,6.184210526315789,6229.0,Low,0,1,1,0
24,1,148,dodge,four,sedan,fwd,front,93.7,0.24179104477611965,0.2991452991452991,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,7.580645161290323,6.184210526315789,6692.0,Low,0,1,1,0
25,1,148,dodge,four,sedan,fwd,front,93.7,0.24179104477611965,0.2991452991452991,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,7.580645161290323,6.184210526315789,7609.0,Low,0,1,1,0
26,1,148,dodge,four,sedan,fwd,front,93.7,0.24179104477611965,0.2991452991452991,50.6,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102.0,5500.0,9.791666666666666,7.833333333333333,8558.0,Medium,0,1,0,1
27,-1,110,dodge,four,wagon,fwd,front,103.3,0.5,0.3675213675213672,59.8,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88.0,5000.0,9.791666666666666,7.833333333333333,8921.0,Low,0,1,1,0
28,3,145,dodge,two,hatchback,fwd,front,95.9,0.4791044776119402,0.5128205128205127,50.2,2811,ohc,four,156,mfi,3.6,3.9,7.0,145.0,5000.0,12.368421052631579,9.791666666666666,12964.0,Medium,0,1,0,1
29,2,137,honda,two,hatchback,fwd,front,86.6,0.05223880597014925,0.30769230769230776,50.8,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58.0,4800.0,4.795918367346939,4.351851851851852,6479.0,Low,0,1,1,0
30,2,137,honda,two,hatchback,fwd,front,86.6,0.05223880597014925,0.30769230769230776,50.8,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,7.580645161290323,6.184210526315789,6855.0,Low,0,1,1,0
31,1,101,honda,two,hatchback,fwd,front,93.7,0.13283582089552248,0.3162393162393164,52.6,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60.0,5500.0,6.184210526315789,5.595238095238095,5399.0,Low,0,1,1,0
32,1,101,honda,two,hatchback,fwd,front,93.7,0.13283582089552248,0.3162393162393164,52.6,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,7.833333333333333,6.911764705882353,6529.0,Low,0,1,1,0
33,1,101,honda,two,hatchback,fwd,front,93.7,0.13283582089552248,0.3162393162393164,52.6,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,7.833333333333333,6.911764705882353,7129.0,Low,0,1,1,0
34,0,110,honda,four,sedan,fwd,front,96.5,0.33283582089552255,0.3162393162393164,54.5,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,7.833333333333333,6.911764705882353,7295.0,Low,0,1,1,0
35,0,78,honda,four,wagon,fwd,front,96.5,0.23880597014925373,0.30769230769230776,58.3,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76.0,6000.0,7.833333333333333,6.911764705882353,7295.0,Low,0,1,1,0
36,0,106,honda,two,hatchback,fwd,front,96.5,0.39402985074626873,0.4188034188034192,53.3,2236,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,8.703703703703704,7.121212121212121,7895.0,Low,0,1,1,0
37,0,106,honda,two,hatchback,fwd,front,96.5,0.39402985074626873,0.4188034188034192,53.3,2289,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,8.703703703703704,7.121212121212121,9095.0,Low,0,1,1,0
38,0,85,honda,four,sedan,fwd,front,96.5,0.5119402985074628,0.4188034188034192,54.1,2304,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,8.703703703703704,7.121212121212121,8845.0,Low,0,1,1,0
39,0,85,honda,four,sedan,fwd,front,96.5,0.5119402985074628,0.18803418803418823,54.1,2372,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,8.703703703703704,7.121212121212121,10295.0,Low,0,1,1,0
40,0,85,honda,four,sedan,fwd,front,96.5,0.5119402985074628,0.4188034188034192,54.1,2465,ohc,four,110,mpfi,3.15,3.58,9.0,101.0,5800.0,9.791666666666666,8.392857142857142,12945.0,Low,0,1,1,0
41,1,107,honda,two,sedan,fwd,front,96.5,0.417910447761194,0.4871794871794873,51.0,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100.0,5500.0,9.4,7.580645161290323,10345.0,Low,0,1,1,0
42,0,122,isuzu,four,sedan,rwd,front,94.3,0.4417910447761193,0.12820512820512817,53.5,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78.0,4800.0,9.791666666666666,8.10344827586207,6785.0,Low,0,1,1,0
43,2,122,isuzu,two,hatchback,rwd,front,96.0,0.4701492537313433,0.4188034188034192,51.4,2734,ohc,four,119,spfi,3.43,3.23,9.2,90.0,5000.0,9.791666666666666,8.10344827586207,11048.0,Low,0,1,1,0
44,0,145,jaguar,four,sedan,rwd,front,113.0,0.8731343283582089,0.7948717948717945,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176.0,4750.0,15.666666666666666,12.368421052631579,32250.0,High,0,1,1,0
45,0,122,jaguar,four,sedan,rwd,front,113.0,0.8731343283582089,0.7948717948717945,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176.0,4750.0,15.666666666666666,12.368421052631579,35550.0,High,0,1,1,0
46,0,122,jaguar,two,sedan,rwd,front,102.0,0.7552238805970148,0.8803418803418799,47.8,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262.0,5000.0,18.076923076923077,13.823529411764707,36000.0,High,0,1,1,0
47,1,104,mazda,two,hatchback,fwd,front,93.1,0.26865671641791045,0.33333333333333376,54.1,1890,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,7.833333333333333,7.580645161290323,5195.0,Low,0,1,1,0
48,1,104,mazda,two,hatchback,fwd,front,93.1,0.26865671641791045,0.33333333333333376,54.1,1900,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,7.580645161290323,6.184210526315789,6095.0,Low,0,1,1,0
49,1,104,mazda,two,hatchback,fwd,front,93.1,0.26865671641791045,0.33333333333333376,54.1,1905,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,7.580645161290323,6.184210526315789,6795.0,Low,0,1,1,0
50,1,113,mazda,four,sedan,fwd,front,93.1,0.38358208955223905,0.33333333333333376,54.1,1945,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,7.580645161290323,6.184210526315789,6695.0,Low,0,1,1,0
51,1,113,mazda,four,sedan,fwd,front,93.1,0.38358208955223905,0.33333333333333376,54.1,1950,ohc,four,91,2bbl,3.08,3.15,9.0,68.0,5000.0,7.580645161290323,6.184210526315789,7395.0,Low,0,1,1,0
52,3,150,mazda,two,hatchback,rwd,front,95.3,0.4164179104477613,0.4615384615384619,49.6,2380,rotor,two,70,4bbl,3.3307106598984775,3.2569035532994857,9.4,101.0,6000.0,13.823529411764707,10.217391304347826,10945.0,Low,0,1,1,0
53,3,150,mazda,two,hatchback,rwd,front,95.3,0.4164179104477613,0.4615384615384619,49.6,2380,rotor,two,70,4bbl,3.3307106598984775,3.2569035532994857,9.4,101.0,6000.0,13.823529411764707,10.217391304347826,11845.0,Low,0,1,1,0
54,3,150,mazda,two,hatchback,rwd,front,95.3,0.4164179104477613,0.4615384615384619,49.6,2385,rotor,two,70,4bbl,3.3307106598984775,3.2569035532994857,9.4,101.0,6000.0,13.823529411764707,10.217391304347826,13645.0,Low,0,1,1,0
55,3,150,mazda,two,hatchback,rwd,front,95.3,0.4164179104477613,0.4615384615384619,49.6,2500,rotor,two,80,mpfi,3.3307106598984775,3.2569035532994857,9.4,135.0,6000.0,14.6875,10.217391304347826,15645.0,Medium,0,1,1,0
56,1,129,mazda,two,hatchback,fwd,front,98.8,0.547761194029851,0.52991452991453,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,9.038461538461538,7.34375,8845.0,Low,0,1,1,0
57,0,115,mazda,four,sedan,fwd,front,98.8,0.547761194029851,0.52991452991453,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,9.038461538461538,7.34375,8495.0,Low,0,1,1,0
58,1,129,mazda,two,hatchback,fwd,front,98.8,0.547761194029851,0.52991452991453,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,9.038461538461538,7.34375,10595.0,Low,0,1,1,0
59,0,115,mazda,four,sedan,fwd,front,98.8,0.547761194029851,0.52991452991453,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,9.038461538461538,7.34375,10245.0,Low,0,1,1,0
60,0,122,mazda,four,sedan,fwd,front,98.8,0.547761194029851,0.52991452991453,55.5,2443,ohc,four,122,idi,3.39,3.39,22.7,64.0,4650.0,6.527777777777778,5.595238095238095,10795.0,Low,1,0,1,0
61,0,115,mazda,four,hatchback,fwd,front,98.8,0.547761194029851,0.52991452991453,55.5,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,9.038461538461538,7.34375,11245.0,Low,0,1,1,0
62,0,118,mazda,four,sedan,rwd,front,104.9,0.5059701492537314,0.49572649572649535,54.4,2670,ohc,four,140,mpfi,3.76,3.16,8.0,120.0,5000.0,12.368421052631579,8.703703703703704,18280.0,Medium,0,1,1,0
63,0,122,mazda,four,sedan,rwd,front,104.9,0.5059701492537314,0.49572649572649535,54.4,2700,ohc,four,134,idi,3.43,3.64,22.0,72.0,4200.0,7.580645161290323,6.0256410256410255,18344.0,Low,1,0,1,0
64,-1,93,mercedes-benz,four,sedan,rwd,front,110.0,0.7432835820895524,0.8547008547008544,56.5,3515,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,10.681818181818182,9.4,25552.0,Medium,1,0,0,1
65,-1,93,mercedes-benz,four,wagon,rwd,front,110.0,0.7432835820895524,0.8547008547008544,58.7,3750,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,10.681818181818182,9.4,28248.0,Medium,1,0,0,1
66,0,93,mercedes-benz,two,hardtop,rwd,front,106.7,0.6925373134328359,0.8547008547008544,54.9,3495,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,10.681818181818182,9.4,28176.0,Medium,1,0,0,1
67,-1,93,mercedes-benz,four,sedan,rwd,front,115.6,0.917910447761194,0.9743589743589746,56.3,3770,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,10.681818181818182,9.4,31600.0,Medium,1,0,0,1
68,-1,122,mercedes-benz,four,sedan,rwd,front,115.6,0.917910447761194,0.9743589743589746,56.5,3740,ohcv,eight,234,mpfi,3.46,3.1,8.3,155.0,4750.0,14.6875,13.055555555555555,34184.0,Medium,0,1,1,0
69,3,142,mercedes-benz,two,convertible,rwd,front,96.6,0.5850746268656719,0.8717948717948718,50.8,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155.0,4750.0,14.6875,13.055555555555555,35056.0,Medium,0,1,1,0
70,0,122,mercedes-benz,four,sedan,rwd,front,120.9,1.0,0.9743589743589746,56.7,3900,ohcv,eight,308,mpfi,3.8,3.35,8.0,184.0,4500.0,16.785714285714285,14.6875,40960.0,High,0,1,1,0
71,1,122,mercedes-benz,two,hardtop,rwd,front,112.0,0.8671641791044775,1.0,55.4,3715,ohcv,eight,304,mpfi,3.8,3.35,8.0,184.0,4500.0,16.785714285714285,14.6875,45400.0,High,0,1,1,0
72,1,122,mercury,two,hatchback,rwd,front,102.7,0.5567164179104479,0.6581196581196582,54.8,2910,ohc,four,140,mpfi,3.78,3.12,8.0,175.0,5000.0,12.368421052631579,9.791666666666666,16503.0,High,0,1,0,1
73,2,161,mitsubishi,two,hatchback,fwd,front,93.7,0.24179104477611965,0.35042735042735107,50.8,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,6.351351351351352,5.7317073170731705,5389.0,Low,0,1,1,0
74,2,161,mitsubishi,two,hatchback,fwd,front,93.7,0.24179104477611965,0.35042735042735107,50.8,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,7.580645161290323,6.184210526315789,6189.0,Low,0,1,1,0
75,2,161,mitsubishi,two,hatchback,fwd,front,93.7,0.24179104477611965,0.35042735042735107,50.8,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,7.580645161290323,6.184210526315789,6669.0,Low,0,1,1,0
76,1,161,mitsubishi,two,hatchback,fwd,front,93.0,0.24179104477611965,0.2991452991452991,50.8,2145,ohc,four,98,spdi,3.03,3.39,7.6,102.0,5500.0,9.791666666666666,7.833333333333333,7689.0,Medium,0,1,0,1
77,3,153,mitsubishi,two,hatchback,fwd,front,96.3,0.4761194029850747,0.4358974358974365,49.4,2370,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,10.217391304347826,7.833333333333333,9959.0,Medium,0,1,0,1
78,3,153,mitsubishi,two,hatchback,fwd,front,96.3,0.4761194029850747,0.4358974358974365,49.4,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,9.4,7.34375,8499.0,Low,0,1,1,0
79,3,122,mitsubishi,two,hatchback,fwd,front,95.9,0.4791044776119402,0.5128205128205127,50.2,2833,ohc,four,156,spdi,3.58,3.86,7.0,145.0,5000.0,12.368421052631579,9.791666666666666,12629.0,Medium,0,1,0,1
80,3,122,mitsubishi,two,hatchback,fwd,front,95.9,0.4791044776119402,0.5128205128205127,50.2,2921,ohc,four,156,spdi,3.59,3.86,7.0,145.0,5000.0,12.368421052631579,9.791666666666666,14869.0,Medium,0,1,0,1
81,3,122,mitsubishi,two,hatchback,fwd,front,95.9,0.4791044776119402,0.5128205128205127,50.2,2926,ohc,four,156,spdi,3.59,3.86,7.0,145.0,5000.0,12.368421052631579,9.791666666666666,14489.0,Medium,0,1,0,1
82,1,125,mitsubishi,four,sedan,fwd,front,96.3,0.4671641791044778,0.4358974358974365,51.6,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,9.4,7.34375,6989.0,Low,0,1,1,0
83,1,125,mitsubishi,four,sedan,fwd,front,96.3,0.4671641791044778,0.4358974358974365,51.6,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,9.4,7.34375,8189.0,Low,0,1,1,0
84,1,125,mitsubishi,four,sedan,fwd,front,96.3,0.4671641791044778,0.4358974358974365,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,10.217391304347826,7.833333333333333,9279.0,Medium,0,1,0,1
85,-1,137,mitsubishi,four,sedan,fwd,front,96.3,0.4671641791044778,0.4358974358974365,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,10.217391304347826,7.833333333333333,9279.0,Medium,0,1,1,0
86,1,128,nissan,two,sedan,fwd,front,94.5,0.3611940298507465,0.2991452991452991,54.5,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,6.351351351351352,5499.0,Low,0,1,1,0
87,1,128,nissan,two,sedan,fwd,front,94.5,0.3611940298507465,0.2991452991452991,54.5,2017,ohc,four,103,idi,2.99,3.47,21.9,55.0,4800.0,5.222222222222222,4.7,7099.0,Low,1,0,1,0
88,1,128,nissan,two,sedan,fwd,front,94.5,0.3611940298507465,0.2991452991452991,54.5,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,6.351351351351352,6649.0,Low,0,1,1,0
89,1,122,nissan,four,sedan,fwd,front,94.5,0.3611940298507465,0.2991452991452991,54.5,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,6.351351351351352,6849.0,Low,0,1,1,0
90,1,103,nissan,four,wagon,fwd,front,94.5,0.43432835820895516,0.2991452991452991,53.5,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,6.351351351351352,7349.0,Low,0,1,1,0
91,1,128,nissan,two,sedan,fwd,front,94.5,0.3611940298507465,0.2991452991452991,54.5,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,6.351351351351352,7299.0,Low,0,1,1,0
92,1,128,nissan,two,hatchback,fwd,front,94.5,0.3656716417910448,0.2991452991452991,53.3,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,6.351351351351352,7799.0,Low,0,1,1,0
93,1,122,nissan,four,sedan,fwd,front,94.5,0.3611940298507465,0.2991452991452991,54.5,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,6.351351351351352,7499.0,Low,0,1,1,0
94,1,103,nissan,four,wagon,fwd,front,94.5,0.43432835820895516,0.2991452991452991,53.5,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,6.351351351351352,7999.0,Low,0,1,1,0
95,2,168,nissan,two,hardtop,fwd,front,95.1,0.3179104477611942,0.2991452991452991,53.3,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,6.351351351351352,8249.0,Low,0,1,1,0
96,0,106,nissan,four,hatchback,fwd,front,97.2,0.4820895522388061,0.4188034188034192,54.7,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97.0,5200.0,8.703703703703704,6.911764705882353,8949.0,Low,0,1,1,0
97,0,106,nissan,four,sedan,fwd,front,97.2,0.4820895522388061,0.4188034188034192,54.7,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97.0,5200.0,8.703703703703704,6.911764705882353,9549.0,Low,0,1,1,0
98,0,128,nissan,four,sedan,fwd,front,100.4,0.6059701492537313,0.52991452991453,55.1,3095,ohcv,six,181,mpfi,3.43,3.27,9.0,152.0,5200.0,13.823529411764707,10.681818181818182,13499.0,Medium,0,1,1,0
